id	inquiry_category	general_template
28	권장 사양(지원 기기) 안내 	안녕하세요, Wavve(웨이브)입니다.\n\n서비스 지원 기기 및 이용 권장 사양 안내드립니다.  \n\n[서비스 이용 권장 사양]\n- PC : Windows 10 이상, MacOS 10.12 이상. Chrome/Edge/Safari 등 HTML 5 지원 브라우저 최신 버전\n- 스마트폰 : Android 11 버전 이상, iOS 15 버전 이상의 국내 출시 모델\n- 태블릿 : Android 11 버전 이상, iOS 15 버전 이상의 국내 출시 모델\n- TV : 삼성 스마트TV Tizen 3.0 이상의 모델 / LG 스마트TV webOS 3.5이상의 모델\n- Android TV/셋톱박스 : Android 5.0 이상 및 Google Play 스토어 지원 기기 (RAM 2GB 이상 권장)\n- 애플 TV : tvOS 16 이상\n- 크롬캐스트 : 2~4세대\n\n[참고 사항] \n- 브라우저 관련 : 스윙, 웨일 브라우저 등은 정식 지원되지 않으므로 일부 기능 사용이 제한될 수 있습니다.\n- PC 해상도 : Windows PC는 1920×1080 해상도에 최적화되어 있습니다. 해상도가 낮을 경우 메뉴 일부가 잘려 보일 수 있습니다.\n- 광고형 이용권은 LG TV Web OS 4.0 미만 버전이나 차량 인포테인먼트 장비(IVI)에서 재생할 수 없습니다.\n- 광고형 이용권은 애플 AirPlay 및 구글의 캐스팅 같은 미러링 기능은 사용할 수 없습니다.\n- 광고형 이용권 사용시, 일부 콘텐츠 재생에 제한이 있을 수 있습니다. \n- 크롬캐스트 4세대 : 크롬캐스트 내에 Wavve 앱을 설치하여 이용하실 경우, \n                             TV 시청 권한이 포함된 이용권을 보유해야 시청이 가능합니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
29	[모바일] 기본 조치 방법	안녕하세요, Wavve (웨이브)입니다.\n\n문의해주신 내용 확인 후 기본 조치 방법 안내드립니다.  \n\n■ 기본 조치 방법 \n[안드로이드(Android) 기기] \n① 스토어 앱 정리 : 앱 설치 및 업데이트 오류 방지를 위해 진행합니다.\n   - 경로: 휴대폰 [설정] → [애플리케이션] → [Google Play 스토어] \n              → [저장공간] → [데이터 삭제] 및 [캐시 삭제] \n② Wavve 앱 재설치: 앱 오류를 해결하기 위한 가장 효과적인 방법입니다.\n   - 경로 : 휴대폰 [설정] → [애플리케이션] → [Wavve] \n              → [저장공간] → [데이터 삭제] 및 [캐시 삭제]\n   - 방법 : 앱 삭제 후 휴대폰을 재부팅해 주세요. 이후 [Google Play 스토어]에서 \n              '웨이브'를 검색하여 다시 설치해 주시기 바랍니다. \n③ 업데이트 불가할 경우 : 최소 사양 "Android 9 이상" 여부 확인 \n   - 최소 사양 이상일 경우  휴대폰 설정 - 애플리케이션 - google play 스토어\n     - 저장공간 - 캐시 삭제 - 데이터 삭제 한 후에 구글 play 스토어에서 재 업데이트 시도를 하시면 됩니다.  \n\n※ 데이터 삭제 시 \n- 로그인이 해제되므로 아이디/비밀번호를 미리 확인 바랍니다.\n- 다운로드한 영상도 삭제 됩니다. \n\n[iOS(아이폰/아이패드) 기기] \n① Wavve 앱 재설치\n   - 방법 : 홈 화면의 [Wavve] 앱 아이콘을 길게 누르기 \n              → [앱 제거] → [앱 삭제]를 선택하여 삭제합니다.\n   - 이후 [App Store]에서 '웨이브'를 검색하여 다시 설치해 주시기 바랍니다.\n\n위 방법으로 진행했음에도 동일 증상일 경우, \n하기 내용 확인 후 전달 주시면 내부 문의 접수 해보겠습니다.  \n\n[접수 양식] \n1. 이용 기기(모델명) : \n2. iOS  또는 안드로이드 버전 : \n3. Wavve 앱 버전 : \n4. 증상 : \n5. 증상 발생 시점 :\n6. wifi or LTE 접속 시 발생 여부: \n  - wifi 접속 시에만 발생 \n  - LTE 접속 시에만 발생 \n  - 둘 다 발생  \n7. 통신사 : \n8. 기본조치 여부 : Y / N \n\n번거로우시겠지만, [재 문의] 부탁드립니다.  \n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.  
30	[PC] 기본 조치 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 PC의 원활한 시청을 위한 기본 조치 방법을 안내드립니다. \n\n이용하시는 브라우저의 캐시 및 데이터를 삭제하여 증상을 해결할 수 있으니, \n아래 내용을 확인 부탁드립니다.\n\n1. Google Chrome\n- 방법: 주소창에 chrome://settings/clearBrowserData 입력 \n           (또는 설정 > 개인정보 보호 및 보안 > 인터넷 사용 기록 삭제)\n- 설정: 기간 [전체 기간] 선택 > 모든 항목 체크 > [데이터 삭제] 클릭 후 브라우저 재시작\n\n2. Microsoft Edge\n- 방법: 주소창에 edge://settings/clearBrowserData 입력 \n          (또는 설정 > 개인정보, 검색 및 서비스 > 지울 항목 선택)\n- 설정: 시간 범위 [모든 시간] 선택 > 모든 항목 체크 > [지금 지우기] 클릭 후 브라우저 재시작\n\n3. 네이버 Whale\n- 방법: 주소창에 whale://settings/clearBrowserData 입력 \n           (또는 설정 > 개인정보 보호 > 인터넷 사용 기록 삭제)\n- 설정: 기간 [전체 기간] 선택 > 모든 항목 체크 > [삭제] 클릭 후 브라우저 재시작\n\n4. Safari (macOS)\n- 방법: 상단 메뉴 [Safari] > [설정(또는 환경 설정)] > [개인정보 보호] > [웹사이트 데이터 관리]\n- 설정: [모두 제거] 클릭 > [지금 제거] 선택 후 브라우저 재시작\n\n5. Firefox\n- 방법: 주소창에 about:preferences#privacy 입력 (또는 설정 > 개인정보 및 보안 > 쿠키 및 사이트 데이터)\n-설정: [데이터 지우기] 클릭 > 모든 항목 체크 > [지우기] 클릭 후 브라우저 재시작\n\n※ 공통 주의사항: 브라우저 기록 삭제 시 열려 있는 모든 탭이 새로고침되거나\n    로그아웃될 수 있으니 중요한 작업은 미리 저장해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
31	[스마트 TV] 기본 조치 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 증상에 대한 기본 조치 방법을 안내드립니다.\n\n■ 서비스 이용 권장 사양\n- 삼성 스마트 TV: Tizen 3.0 이상 모델\n- LG 스마트 TV: webOS 3.5 이상 모델\n\n권장 사양 이상임에도 동일한 증상이 발생한다면, 아래와 같이 기본 조치를 진행해 보시기 바랍니다.\n\n■ 기본 조치 방법\n- TV 전원 재시작: TV 전원 코드를 완전히 분리한 후 재연결해 주세요.\n- 공유기 리셋: 인터넷 공유기의 연결선을 제거하고 약 20분 정도 후에 다시 연결해 주세요.\n\n■ 문제가 지속될 경우 확인 사항\n만약 조치 후에도 동일한 증상이 발생한다면, \n정확한 파악을 위해 아래 정보를 기재하여 회신 부탁드립니다. \n\n① TV 모델명 및 제조년월: \n② Wavve 앱 버전 및 업데이트 날짜: \n③ 소프트웨어 상세 정보: (일련번호 / 장치 이름 / webOS 버전 등)\n    - 경로: 설정 > 일반 > 고객지원 > TV 정보 \n④ 상세한 오류 증상: (오류 메시지나 구체적인 증상)\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
32	[OTT, 크롬캐스트] 기본 조치 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 크롬캐스트 조치 방법 안내드립니다.  \n\n[크롬캐스트 이용 장애 시 기본 조치 방법]\n① 동일한 Wi-Fi 연결 확인: 크롬캐스트와 모바일 기기가 동일한 Wi-Fi에 연결되어 있는지 확인 바랍니다.  \n(네트워크 이름 뒤의 2.4G와 5G는 서로 다른 신호로 인식될 수 있으므로, 반드시 동일한 명칭의 신호를 잡아야 합니다.) \n② 앱 최적화: Wavve 앱 및 Google Home 앱의 캐시/데이터를 삭제하신 후, 기기 재부팅 및 앱 재설치를 진행 바랍니다\n③ 전원 재연결: 크롬캐스트 본체의 전원 케이블을 분리했다가 다시 연결바랍니다. \n④ 기기 초기화: 위 조치 후에도 해결되지 않을 경우 크롬캐스트 기기를 초기화 바랍니다. \n\n[위 조치 후에도 이용 불가 시 확인 사항]\n① 기기 세대 확인: 이용 중인 크롬캐스트 기기가 몇 세대인가요? (2세대 이상 모델부터 정식 지원됩니다.) \n② 모바일 OS 확인: 이용 중인 기기가 **iOS(아이폰)**인가요, 안드로이드인가요? \n③ 장애 유형 파악\n     - 크롬캐스트 아이콘이 아예 노출되지 않음 여부 확인 필요 \n     - 아이콘은 보이지만 연결 시 오류가 발생 여부 확인 필요 \n     - 연결은 되지만 영상 재생 시에만 문제가 발생 여부 확인 필요 \n④ 콘텐츠 정보: 재생이 안 될 경우, 특정 콘텐츠의 문제인지 확인을 위해 \n    **[콘텐츠 명]** 확인이 필요합니다.  \n⑤ 네트워크 환경: 이용 중인 Wi-Fi의 통신사와 공유기 모델을 확인이 필요합니다.  \n\n※ iOS 이용자 주의사항 \n   - iOS 14 버전 이상부터는 '로컬 네트워크' 권한이 허용되어 있어야 크롬캐스트를 찾을 수 있습니다. \n   - 아이폰 사용자라면 설정 > Wavve > 로컬 네트워크 활성 여부를 확인 하시기 바랍니다. \n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
33	DRM 콘텐츠	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 개별 구매 관련 안내드립니다. \n\n※ DRM(Digital Rights Management)이란? \n디지털 저작권 관리(DRM)는 저작권자가 배포한 디지털 콘텐츠의 무단 복제 및 배포를 방지하기 위해 적용되는 보안 기술을 의미합니다.\n\nWavve에 업로드된 국내외 드라마, Wavve 오리지널, Only 콘텐츠 등은 저작권자의 요청에 따라 \n대부분 DRM 보안 기술이 적용되어 있습니다.\n\n특정 영상만 재생되지 않는다면, 해당 기기가 DRM 보안 기술을 정상적으로\n지원하지 못해 발생하는 현상일 수 있습니다. 아래 내용을 확인해 주시기 바랍니다.\n\n- 기기 교차 확인: 다른 기기(스마트폰, PC 등)에서 동일한 영상이 정상적으로 재생되는지 확인바랍니다. \n- 권장 사양 확인: 사용 중인 기기가 Wavve 서비스의 권장 사양 및 DRM 재생 환경을 충족하는지 확인 후 시청해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
34	개별 구매 영화/단건 이용 안내	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 개별 구매 서비스에 대해 안내드립니다.\n\n[구매 및 시청 기간]\n- 개별 구매 영화는 단건 또는 패키지 상품으로 구매하실 수 있습니다.\n- 구매한 상품은 결제 시 안내된 이용 기간(시청 기간) 내에만 시청이 가능합니다.\n\n[다운로드 안내]\n- 다운로드 지원 여부는 각 상품별로 별도 표기되어 있습니다.\n- 다만, 대부분의 콘텐츠는 DRM(디지털 저작권 관리) 적용으로 인해 다운로드가 제한될 수 있는 점 양해 부탁드립니다.\n\n[기기별 구매 및 시청 방법]\n- PC 및 모바일 웹: 사이트를 통해 즉시 개별 구매가 가능합니다.\n- 안드로이드: 구글 플레이를 통해 코인 충전 후 구매하실 수 있습니다. \n   (※ 구글 정책에 따라 코인 충전 시 수수료가 발생할 수 있습니다.)\n- iOS(아이폰/아이패드): 앱 내 직접 구매는 불가하므로 PC/웹에서 먼저 구매 바랍니다. \n  구매한 상품은 **[MY] > [구매 내역]**에서 확인하거나, 검색창에서 해당 영화를 **[검색]**하여 바로 시청하실 수 있습니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
35	광고 송출 문의	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 광고 관련 안내드립니다.  \n\n1. 무료 콘텐츠 및 팝업 광고 안내\n- LIVE 및 무료 VOD : 시청 전 무작위로 광고가 재생되며, 최대 2회까지 송출될 수 있습니다.\n- 팝업 광고 : 시청 중이던 콘텐츠를 팝업 창으로 전환할 때도 광고가 재생될 수 있습니다.\n\n2. 방송사 대체 광고 안내\n- 대체 광고 송출: 방송사의 우선순위 정책에 따라 기존 방송 광고가 대체 광고로 바뀌어 송출될 수 있습니다.\n- 대체 이미지 운영: 방송사의 본 광고보다 대체 광고의 길이가 짧을 경우, 남은 시간은 대체 이미지로 운영됩니다.\n\n3. Quick VOD 및 일반 VOD 광고 차이 안내\n- Quick VOD: 방송사의 라이브 영상을 실시간에 가깝게 제공하는 특성상, 방송 중간 광고가 생략 없이 포함될 수 있습니다.\n- 일반 VOD: 이후 정식으로 업데이트되는 VOD 파일은 중간 광고가 편집된 상태로 제공되니 이용에 참고해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
36	다운로드	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 다운로드 서비스와 관련하여 안내드립니다.\n\nWavve(웨이브)에서 제공되는 영상은 방송사 콘텐츠 외에도 \n계약된 유통/배급사의 판권 기준에 따라 제공됩니다. \n\n따라서 모든 콘텐츠의 다운로드가 가능한 것은 아니며, \n다운로드 버튼이 노출되는 콘텐츠만 이용 가능한 점 양해 부탁드립니다.\n\n[유의 사항] \n - 일부 방송 콘텐츠도 CP사(공급사) 정책에 따라 다운로드가 불가할 수 있습니다.\n - 영화를 개별 구매하시는 경우에도 '다운로드 가능' 표기가 된 콘텐츠만 다운로드할 수 있습니다.\n - 다운로드 완료 시, 앱 내 [다운로드] 메뉴에서 목록을 확인하실 수 있습니다.\n - 인터넷 연결이 어려운 환경에서 Wavve 앱 실행 시, 즉시 다운로드 보관함으로 이동하여 시청이 가능합니다.\n\n[추가 안내 사항] 디지털 저작권 보호(DRM) 강화를 위해 \n다운로드 기능이 다음과 같이 변경되었으니 이용에 참고하시기 바랍니다.\n\n1. 모바일 앱 다운로드 기능 업데이트 (2025년 1월 20일 적용)\n  - 대상: 안드로이드 및 iOS 스마트폰/태블릿\n  - 범위 : 안드로이드 및 iOS 스마트폰 및 태블릿\n  - 내용:\n    · 모바일 다운로드 콘텐츠에 DRM(디지털 저작권 보호 장치) 적용\n    · 다운로드 파일은 7일 후 만료, 30일 후 자동 삭제됩니다.\n    · 앱 외 별도 저장소 내 관리 불가, Wavve 앱 내 보관함을 통한 재생만 지원합니다.\n\n2. PC 웹 다운로드 기능 종료 (2025년 1월 14일 적용)\n  - 내용: Wavve PC 웹 사이트를 통한 방송, 영화 등 모든 콘텐츠의 다운로드 서비스가 종료되었습니다.\n  - 참고: PC에서는 스트리밍 시청만 가능하며, 다운로드는 모바일 앱을 이용해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.  
37	무료 VOD 및 QVOD 이용 안내	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 VOD / QVOD 이용관련 안내드립니다.\n\n1. 무료 VOD 시청 안내\n   - 무료 VOD 콘텐츠는 화면 상단에 ‘무료’ 표시가 되어 있습니다.\n   - 무료 시청 전에는 무작위로 최대 2회의 광고가 재생됩니다.\n\n2. Quick VOD 서비스 안내\n   - Quick VOD는 본 방송 시작 후 약 5분 이내에 해당 회차의 VOD를 즉시 시청할 수 있는 서비스입니다.\n   - 시청 범위 : 본 방송이 진행 중인 시점까지만 시청 가능합니다.\n   - 제공 대상 : 주요 시청 시간대의 인기 프로그램을 중심으로 제공됩니다.\n   - 제한 안내 : SBS 채널은 제공사의 요청으로 2024년 12월 16일부터 Quick VOD 서비스가 중단되었습니다.\n   - 이용권 권한 : 'LIVE+VOD' 통합 이용권 보유 시 시청 가능하며,\n     과거의 'VOD Only' 또는 'LIVE Only' 이용권으로는 이용하실 수 없습니다.\n   - 기기 제한 : 일부 기기에서는 기기 사양에 따라 Quick VOD 서비스가 제공되지 않을 수 있습니다.\n\n3. VOD 제공 정책 안내\n   - VOD는 방송사 및 유통사의 정책에 따라 제공됩니다. \n   - 방송 내용 중 저작권 이슈가 있거나 방송사 사정에 따라 일부 회차의 제공이 제한될 수 있습니다.\n\n일정 확인: 상세한 업데이트 일정은 **[콘텐츠 공지사항]**을 통해 확인해 주시기 바랍니다. \n(https://www.wavve.com/customer/notice_list?filterType=contents)\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
38	자막 설정 방법	안녕하세요, Wavve (웨이브) 입니다.\n\n말씀해주신 자막 관련 안내드립니다. \n하기 안내드리는 경로를 통해 설정 부탁드립니다. \n\n■ 모바일 자막 설정\n- 방법: 콘텐츠 재생 화면 하단 → [자막/음성] 클릭\n- 설정: 한국어 / 영어 / 끄기 중 선택\n\n■ PC 자막 설정\n- 방법: 콘텐츠 재생 화면 하단 [설정(톱니바퀴)] 클릭\n- 설정: [자막] 메뉴에서 한국어 / 영어 / 끄기 중 선택\n\n자막 설정 옵션(한국어/영어)은 영상별로 제공 여부가 상이할 수 있습니다.\n\n해당 메뉴가 노출되지 않는다면 자막 설정이나\n제외가 불가한 영상이오니 이용에 참고 부탁드립니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
39	쿠폰 전환 방법 	안녕하세요, Wavve (웨이브)입니다.\n\n문의하신 <11번가 쿠폰 이용 방법>을 안내드립니다.\n\n1. 쿠폰 번호 확인: 11번가 앱/사이트의 [나의 11번가 > e쿠폰/상품권 내역]에서 '쿠폰 코드 복사' 후 \n    '온라인 교환' 버튼을 눌러 모바일 교환권 화면으로 접속합니다.\n    (등록 URL: https://pap.wavve.com/coupon/11st/login.html)\n2. 핀(PIN) 번호 입력: 안내에 따라 [Wavve 모바일 교환권 PIN 인증] 페이지에서 복사한 번호를 '붙여넣기' 한 후 **[쿠폰 교환]**을 클릭합니다.\n3. 로그인: 만약 로그인 페이지가 나타나면, 이용하실 Wavve(웨이브) 아이디로 로그인을 진행바랍니다.  \n4. 이용권 전환: 쿠폰은 등록 후 '사용하기' 단계까지 완료해야 실제 이용권으로 전환됩니다.\n    - [MY > 쿠폰함 > 보유 쿠폰 > 사용하기] 클릭\n\n※  11번가 쿠폰 유효 기간: ~2026년 2월 28일까지\n     - 반드시 유효 기간 내에 등록 및 '사용하기'까지 완료하셔야 이용이 가능합니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
40	코인 사용 방법	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 코인 사용 방법 대해 안내드립니다.\n\nWavve 코인과 보너스 코인은 영화플러스 '개별 구매' 및 이용권 정기 결제(2025년 10월 14일 도입) 시에 사용하실 수 있습니다.\n\n[코인 사용 및 이용권 구매 안내]\n- PC 또는 모바일 웹(Web)에서 판매하는 상품에 한해 코인 사용이 가능합니다. (※ 앱 내 결제 시에는 사용 불가)\n- 아이폰 및 아이패드의 경우, 애플 정책에 따라 앱 내에서는 코인 잔액 조회가 불가합니다.\n- 안드로이드 기기의 경우, 구글 정책에 따라 앱 내 이용권 구매 시 코인 사용이 불가합니다. \n- 스마트 TV에서 이용권을 구매 시에는 QR을 통해 모바일 웹(Web)으로 연동되어 구매 가능합니다. \n- 스마트 TV에서 개별 구매 시에는 코인 확인 및 사용도 가능합니다.   \n\n1. 코인으로 구매 가능한 이용권 목록\n   - 광고형 스탠다드 (1개월권)\n   - 베이직 / 스탠다드 / 프리미엄 이용권 (1개월권 및 12개월권)\n※ 주의: 더블 이용권 및 기타 제휴 이용권은 코인으로 구매하실 수 없습니다.\n\n2. 코인으로 이용권 구매 시 유의사항\n- 사용 방식: 정기 결제 시 보유한 코인을 결제 금액에서 차감(할인)하는 방식으로 사용됩니다.\n- 결제 방법: 첫 결제 시 코인 입력창에 금액을 직접 입력하거나, [전액 사용] 버튼을 눌러 할인 금액을 적용할 수 있습니다.\n- 최소 결제 금액: 코인 전액 사용을 선택하더라도, 시스템상 최소 결제 금액 100원은 선택하신 결제 수단으로 실제 결제가 진행됩니다.\n- 코인 소진 순서: 유효기간이 짧은 순서대로 소진되며, 종류별로는 '보너스 코인 → Wavve 코인(유료)' 순으로 차감됩니다.\n- 보너스 코인 정책: 이벤트 등으로 지급된 보너스 코인은 환불, 재지급, 기간 연장이 불가하므로 반드시 유효기간 내에 사용해 주시기 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다.\n감사합니다.
41	일시중지 / 업로드 지연 / 콘텐츠 요청	안녕하세요, Wavve(웨이브)입니다.\n\nWavve에서 제공하는 영상은 방송사 및 유통사로부터 전달받은 파일을 기반으로 하며,\n각 영상의 제공 정책은 해당 제공사의 기준을 따르고 있습니다.\n\n이에 따라 저작권 및 판권 만료 등 다양한 사유로 기존에 제공되던 영상이 \n더 이상 서비스되지 않거나, 일부 영상의 제공이 지연될 수 있는 점 너른 양해 부탁드립니다.\n\n방송 내용 중 저작권 이슈가 있거나 방송사 사정에 따라 일부 회차의 제공이 제한될 수 있습니다.\n\n일정 확인: 상세한 업데이트 일정은 **[콘텐츠 공지사항]**을 통해 확인해 주시기 바랍니다. \n(https://www.wavve.com/customer/notice_list?filterType=contents)\n\n만족스러운 답변을 드리지 못해 대단히 죄송하며, \n더욱 풍성한 콘텐츠를 제공하기 위해 노력하는 Wavve가 되겠습니다.\n\n감사합니다.  
42	LIVE 채널/시청, 타임머신 안내	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 서비스 이용 방법에 대해 안내드립니다.\n\n[TV 기기 이용 안내]\n- 콘텐츠 제공사의 요청에 따라, TV 기기에서는 LIVE 서비스를 제공하지 않습니다. (모바일 및 PC 이용 가능)\n- 모바일 기기와 PC에서는 정주행 채널과 홈쇼핑 채널을 무료로 시청하실 수 있습니다. (SD/모바일 화질 제공 및 광고 시청 포함)\n- 무료 LIVE 채널 시청 전에는 무작위로 최대 2회의 광고가 재생됩니다.\n- 무료 시청 시, LIVE 방송을 최대 2시간(120분) 전으로 돌려볼 수 있는 타임머신 및 오디오 모드 기능은 제공되지 않습니다.\n\n[유료 이용권 안내]\n- 모든 LIVE 채널 시청과 타임머신 기능을 원하실 경우, LIVE와 VOD 시청 권한이 포함된 유료 이용권을 구매해 주시기 바랍니다.\n- 유료 채널의 경우 이용권을 보유하지 않으면 시청이 불가능합니다.\n\n※ 참고: 광고형 요금제를 이용하시는 경우에도 타임머신 기능 이용이 제한됩니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
43	해외 서비스 이용 방법	안녕하세요, Wavve(웨이브)입니다. \n\n문의해주신 해외 서비스(Wavve go) 이용 방법을 안내드립니다.\n\n■ 해외 서비스(Wavve go) 이용 안내\n1. 대상 국가 및 기기\n    - 대상 국가: 싱가포르, 인도네시아, 말레이시아, 필리핀, 베트남, 라오스, 태국 (동남아 7개국)\n    - 이용 가능 기기: Wavve 모바일 앱 (안드로이드, iOS)\n      ※ PC, 모바일 웹(WEB), 스마트 TV, 안드로이드 OTT 기기에서는 이용 불가\n2. 이용 조건 및 방법\n    - 이용권: Wavve 유료 이용권을 보유 중인 회원 (별도 추가 요금 없음)\n    - 사전 설정: 출국 전 국내에서 Wavve 앱을 최신 버전으로 업데이트 후 로그인\n      ([앱 설정 > 해외 서비스 설정] 메뉴에서 인증서 자동 발급 확인)\n    - 이용 기간: 해외에서 콘텐츠를 처음 재생한 시점부터 최대 7일간 이용 가능\n3. 이용 가능 콘텐츠\n    - 시청 가능: 지상파 및 종편 주요 채널의 LIVE 및 방송 VOD\n    - 시청 불가: 영화, 5GX, VR, 프로야구 메뉴 및 일부 저작권 제한 콘텐츠\n    - 기능 제한: 스트리밍(재생)만 가능하며, 콘텐츠 다운로드 및 구매는 불가\n4. 유의 사항\n    - 해외에서 앱 실행 시 **'Wavve go'**라고 표시되어야 정상 서비스 대상 국가입니다.\n    - 현지 네트워크 환경에 따라 스트리밍이 원활하지 않을 수 있으므로 가급적 Wi-Fi 환경에서의 이용을 권장합니다.\n    - 관련 링크 : https://pooq3-static-json.pooq.co.kr/service/wavvego/wavve_go_policy.html \n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.
44	SBS 종료	안녕하세요, Wavve(웨이브)입니다.\n\n먼저 이용에 불편을 드리는 소식을 전하게 되어 대단히 죄송한 마음입니다.\n\nWavve에서 제공하는 콘텐츠는 각 방송사 및 배급사와의 계약을 통해 제공되고 있습니다. \n그러나  제공사의 정책 및 편성 기준 변경으로 인해, 아쉽게도 SBS 서비스가 아래와 같이 종료되었습니다. \n\n[SBS 실시간 방송 및 VOD 서비스 종료 안내]\n1. 종료 시점 : 2025년 9월 30일 오전 9시\n2. 시청 가능한 SBS 계열 채널\n    1) VOD : SBS Biz (구 SBS CNBC), SBS funE, SBS Life, SBS Plus\n    2) LIVE : SBS Biz (구 SBS CNBC), THE K-POP, SBS Plus, SBS 라이브 뉴스 24시\n3. 관련 공지: https://www.wavve.com/customer/notice_view?filterType=all&noticeId=4263&pageNum=1&searchWord=\n\n<나는 SOLO>, <나는 SOLO, 그 후 사랑은 계속된다> 등 SBS 계열 채널의 인기 프로그램은 \n계속 시청 가능하오니 많은 이용 부탁드립니다.\n\n더욱 다양한 콘텐츠를 제공해 드릴 수 있도록 부단히 노력하겠습니다. \n감사합니다.
45	UHD(4K) 시청 	안녕하세요, Wavve(웨이브)입니다.\n\n문의하신 UHD(4K) 콘텐츠 시청 관련하여 안내드립니다. \n최상의 화질인 UHD로 감상하시기 위해서는 아래 세 가지 조건이 필요합니다.\n\n1. 이용권 확인\n    - UHD 화질은 Premium(프리미엄) 이용권에서 제공됩니다.\n    - 현재 이용 중인 이용권과 시청 가능한 최고 화질은 [MY] 페이지에서 확인하실 수 있습니다.\n\n2. 지원 디바이스 확인\n    - 지원 기기: UHD(4K)를 지원하는 LG TV, 삼성 TV, 안드로이드 TV, Apple TV 모델\n    - 이용하시는 TV 기기의 실제 UHD 지원 여부는 해당 제조사를 통해 확인해 주시기 바랍니다.\n\n3. 네트워크 환경 확인\n    - 안정적인 시청을 위해 25Mbps 이상의 인터넷 속도가 권장됩니다.\n    - 네트워크 상황이 불안정할 경우 고화질 시청이 원활하지 않을 수 있습니다.\n\n[시청 방법] \n위 환경이 모두 갖춰진 경우, \nUHD 시청이 가능한 콘텐츠의 상세 화면 제목 아래에 [4K] 아이콘이 표시됩니다.\n\n현재 Wavve 오리지널 콘텐츠를 포함해 \n일부 해외 드라마 및 영화를 UHD 화질로 감상하실 수 있습니다. \n\n앞으로도 더 많은 UHD 콘텐츠를 제공할 수 있도록 최선을 다하겠습니다.\n감사합니다.
46	VPN 접속 불가 	안녕하세요, Wavve (웨이브)입니다.\n\n문의하신 VPN 접속 제한과 관련하여 안내드립니다.\n\nWavve는 서비스 보안 강화 및 관련 정책 준수를 위해 VPN(가상 사설망)을 이용한 접속을 제한하고 있습니다.\n\n[VPN 접속 차단 목적]\n- 네트워크 및 이용자 정보 보안 유지\n- 콘텐츠 저작권 보호 및 서비스 안정성 확보\n- 관련 법적 규제 준수\n\n보안 수준을 높이기 위해 관련 정책은 수시로 업데이트되고 있습니다. \n이에 따라 과거에 접속이 가능했더라도 현재는 차단될 수 있는 점 너른 양해 부탁드립니다.\n\n[정상 이용 방법]\n- 국내 거주 사용자의 경우, VPN을 해제(사용 중단)하시면 정상적으로 서비스를 이용하실 수 있습니다.\n- 만약 VPN을 사용하지 않음에도 접속 오류가 발생한다면, \n  이용 중인 네트워크 환경 정보와 함께 [재 문의]주시기 바랍니다.\n\n이러한 조치는 이용자 정보 보호와 안정적인 서비스 운영을 위한 \n필수적인 결정이오니 부디 너그럽게 이해해 주시길 바랍니다.\n\n앞으로 더욱 노력하는 Wavve(웨이브)가 되겠습니다. \n감사합니다.\n
